label,id,task,seed,request_index,latency_ms,http_status,model,input_tokens,output_tokens,error_type
Jev,drawer-open-v3-0,drawer-open-v3,0,33,501.518,200,jev-1.13.0,1198,56,
Jev,drawer-open-v3-0,drawer-open-v3,0,34,396.432,200,jev-1.13.0,1774,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,35,414.126,200,jev-1.13.0,1188,56,
Jev,drawer-open-v3-0,drawer-open-v3,0,36,446.457,200,jev-1.13.0,1782,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,37,408.615,200,jev-1.13.0,1202,56,
Jev,drawer-open-v3-0,drawer-open-v3,0,38,519.449,200,jev-1.13.0,1795,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,39,448.353,200,jev-1.13.0,1222,56,
Jev,drawer-open-v3-0,drawer-open-v3,0,40,478.097,200,jev-1.13.0,1798,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,41,391.036,200,jev-1.13.0,1200,56,
Jev,drawer-open-v3-0,drawer-open-v3,0,42,430.835,200,jev-1.13.0,1805,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,43,402.839,200,jev-1.13.0,1220,56,
Jev,drawer-open-v3-0,drawer-open-v3,0,44,414.919,200,jev-1.13.0,1825,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,45,496.033,200,jev-1.13.0,1219,56,
Jev,drawer-open-v3-0,drawer-open-v3,0,46,411.563,200,jev-1.13.0,1809,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,0,1343.378,200,jev-1.13.0,1015,56,
Jev,drawer-open-v3-1,drawer-open-v3,1,1,408.901,200,jev-1.13.0,1606,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,2,460.084,200,jev-1.13.0,1055,56,
Jev,drawer-open-v3-1,drawer-open-v3,1,3,529.511,200,jev-1.13.0,1646,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,4,445.287,200,jev-1.13.0,1096,56,
Jev,drawer-open-v3-1,drawer-open-v3,1,5,423.015,200,jev-1.13.0,1686,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,6,477.529,200,jev-1.13.0,1134,56,
Jev,drawer-open-v3-1,drawer-open-v3,1,7,468.994,200,jev-1.13.0,1740,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,8,506.604,200,jev-1.13.0,1189,56,
Jev,drawer-open-v3-1,drawer-open-v3,1,9,439.146,200,jev-1.13.0,1808,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,10,679.68,200,jev-1.13.0,1220,56,
Jev,drawer-open-v3-1,drawer-open-v3,1,11,479.73,200,jev-1.13.0,1840,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,12,460.212,200,jev-1.13.0,1248,55,
Jev,drawer-open-v3-1,drawer-open-v3,1,13,708.627,200,jev-1.13.0,1860,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,14,456.039,200,jev-1.13.0,1249,55,
Jev,drawer-open-v3-1,drawer-open-v3,1,15,549.87,200,jev-1.13.0,1879,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,16,453.386,200,jev-1.13.0,1249,55,
Jev,drawer-open-v3-1,drawer-open-v3,1,17,476.646,200,jev-1.13.0,1881,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,18,456.62,200,jev-1.13.0,1249,55,
Jev,drawer-open-v3-1,drawer-open-v3,1,19,487.602,200,jev-1.13.0,1864,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,20,396.947,200,jev-1.13.0,1235,55,
Jev,drawer-open-v3-1,drawer-open-v3,1,21,435.084,200,jev-1.13.0,1833,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,22,494.341,200,jev-1.13.0,1234,55,
Jev,drawer-open-v3-1,drawer-open-v3,1,23,477.218,200,jev-1.13.0,1861,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,24,480.975,200,jev-1.13.0,1234,55,
Jev,drawer-open-v3-1,drawer-open-v3,1,25,435.148,200,jev-1.13.0,1860,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,26,430.055,200,jev-1.13.0,1214,55,
Jev,drawer-open-v3-1,drawer-open-v3,1,27,487.007,200,jev-1.13.0,1810,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,28,524.671,200,jev-1.13.0,1198,55,
Jev,drawer-open-v3-1,drawer-open-v3,1,29,544.966,200,jev-1.13.0,1794,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,30,462.696,200,jev-1.13.0,1197,56,
Jev,drawer-open-v3-1,drawer-open-v3,1,31,402.776,200,jev-1.13.0,1789,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,32,351.556,200,jev-1.13.0,1198,56,
Jev,drawer-open-v3-1,drawer-open-v3,1,33,448.307,200,jev-1.13.0,1771,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,34,402.537,200,jev-1.13.0,1188,56,
Jev,drawer-open-v3-1,drawer-open-v3,1,35,466.299,200,jev-1.13.0,1777,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,36,408.936,200,jev-1.13.0,1203,56,
Jev,drawer-open-v3-1,drawer-open-v3,1,37,540.01,200,jev-1.13.0,1793,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,38,394.062,200,jev-1.13.0,1220,56,
Jev,drawer-open-v3-1,drawer-open-v3,1,39,434.765,200,jev-1.13.0,1794,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,40,401.038,200,jev-1.13.0,1198,56,
Jev,drawer-open-v3-1,drawer-open-v3,1,41,434.841,200,jev-1.13.0,1801,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,42,482.079,200,jev-1.13.0,1217,56,
Jev,drawer-open-v3-1,drawer-open-v3,1,43,452.201,200,jev-1.13.0,1820,144,
Jev,drawer-open-v3-1,drawer-open-v3,1,44,444.561,200,jev-1.13.0,1218,56,
Jev,drawer-open-v3-1,drawer-open-v3,1,45,404.802,200,jev-1.13.0,1806,144,
Jev,door-open-v3-0,door-open-v3,0,0,1333.708,200,jev-1.13.0,1033,56,
Jev,door-open-v3-0,door-open-v3,0,1,572.443,200,jev-1.13.0,1638,144,
Jev,door-open-v3-0,door-open-v3,0,2,461.45,200,jev-1.13.0,1085,56,
Jev,door-open-v3-0,door-open-v3,0,3,476.424,200,jev-1.13.0,1689,144,
Jev,door-open-v3-0,door-open-v3,0,4,346.661,200,jev-1.13.0,1142,56,
Jev,door-open-v3-0,door-open-v3,0,5,451.163,200,jev-1.13.0,1731,144,
Jev,door-open-v3-0,door-open-v3,0,6,399.778,200,jev-1.13.0,1181,56,
Jev,door-open-v3-0,door-open-v3,0,7,466.136,200,jev-1.13.0,1784,144,
Jev,door-open-v3-0,door-open-v3,0,8,385.844,200,jev-1.13.0,1235,56,
Jev,door-open-v3-0,door-open-v3,0,9,418.871,200,jev-1.13.0,1838,144,
Jev,door-open-v3-0,door-open-v3,0,10,378.71,200,jev-1.13.0,1236,56,
Jev,door-open-v3-0,door-open-v3,0,11,391.337,200,jev-1.13.0,1823,144,
Jev,door-open-v3-0,door-open-v3,0,12,410.559,200,jev-1.13.0,1215,56,
Jev,door-open-v3-0,door-open-v3,0,13,448.132,200,jev-1.13.0,1817,144,
Jev,door-open-v3-0,door-open-v3,0,14,453.481,200,jev-1.13.0,1231,56,
Jev,door-open-v3-0,door-open-v3,0,15,389.0,200,jev-1.13.0,1831,144,
Jev,door-open-v3-0,door-open-v3,0,16,454.394,200,jev-1.13.0,1230,56,
Jev,door-open-v3-0,door-open-v3,0,17,419.837,200,jev-1.13.0,1845,144,
Jev,door-open-v3-0,door-open-v3,0,18,416.262,200,jev-1.13.0,1231,56,
Jev,door-open-v3-0,door-open-v3,0,19,558.475,200,jev-1.13.0,1833,144,
Jev,door-open-v3-0,door-open-v3,0,20,450.298,200,jev-1.13.0,1245,56,
Jev,door-open-v3-0,door-open-v3,0,21,485.068,200,jev-1.13.0,1847,144,
Jev,door-open-v3-0,door-open-v3,0,22,824.453,200,jev-1.13.0,1233,56,
Jev,door-open-v3-0,door-open-v3,0,23,368.881,200,jev-1.13.0,1851,144,
Jev,door-open-v3-0,door-open-v3,0,24,443.028,200,jev-1.13.0,1252,55,
Jev,door-open-v3-0,door-open-v3,0,25,471.009,200,jev-1.13.0,1876,144,
Jev,door-open-v3-0,door-open-v3,0,26,351.032,200,jev-1.13.0,1285,55,
Jev,door-open-v3-0,door-open-v3,0,27,450.248,200,jev-1.13.0,1893,144,
Jev,door-open-v3-0,door-open-v3,0,28,478.13,200,jev-1.13.0,1281,55,
Jev,door-open-v3-0,door-open-v3,0,29,527.493,200,jev-1.13.0,1889,144,
Jev,door-open-v3-0,door-open-v3,0,30,418.359,200,jev-1.13.0,1299,55,
Jev,door-open-v3-0,door-open-v3,0,31,435.257,200,jev-1.13.0,1924,144,
Jev,door-open-v3-0,door-open-v3,0,32,466.341,200,jev-1.13.0,1296,55,
Jev,door-open-v3-0,door-open-v3,0,33,465.755,200,jev-1.13.0,1889,144,
Jev,door-open-v3-0,door-open-v3,0,34,376.738,200,jev-1.13.0,1267,55,
Jev,door-open-v3-0,door-open-v3,0,35,581.777,200,jev-1.13.0,1860,144,
Jev,door-open-v3-0,door-open-v3,0,36,446.741,200,jev-1.13.0,1248,55,
Jev,door-open-v3-0,door-open-v3,0,37,441.607,200,jev-1.13.0,1841,144,
Jev,door-open-v3-0,door-open-v3,0,38,359.951,200,jev-1.13.0,1233,55,
Jev,door-open-v3-0,door-open-v3,0,39,471.315,200,jev-1.13.0,1825,144,
Jev,door-open-v3-0,door-open-v3,0,40,429.352,200,jev-1.13.0,1199,55,
Jev,door-open-v3-0,door-open-v3,0,41,416.604,200,jev-1.13.0,1790,144,
Jev,door-open-v3-0,door-open-v3,0,42,468.351,200,jev-1.13.0,1202,55,
Jev,door-open-v3-0,door-open-v3,0,43,360.275,200,jev-1.13.0,1794,144,
Jev,door-open-v3-0,door-open-v3,0,44,516.988,200,jev-1.13.0,1200,55,
Jev,door-open-v3-0,door-open-v3,0,45,682.434,200,jev-1.13.0,1823,144,
Jev,door-open-v3-0,door-open-v3,0,46,400.167,200,jev-1.13.0,1230,55,
Jev,door-open-v3-0,door-open-v3,0,47,457.335,200,jev-1.13.0,1837,144,
Jev,door-open-v3-0,door-open-v3,0,48,423.487,200,jev-1.13.0,1245,55,
Jev,door-open-v3-0,door-open-v3,0,49,636.464,200,jev-1.13.0,1867,144,
Jev,door-open-v3-0,door-open-v3,0,50,461.488,200,jev-1.13.0,1280,55,
Jev,door-open-v3-0,door-open-v3,0,51,666.909,200,jev-1.13.0,1886,144,
Jev,door-open-v3-0,door-open-v3,0,52,435.795,200,jev-1.13.0,1296,55,
Jev,door-open-v3-0,door-open-v3,0,53,465.837,200,jev-1.13.0,1920,144,
Jev,door-open-v3-0,door-open-v3,0,54,532.016,200,jev-1.13.0,1294,55,
Jev,door-open-v3-0,door-open-v3,0,55,455.094,200,jev-1.13.0,1918,144,
Jev,door-open-v3-0,door-open-v3,0,56,544.399,200,jev-1.13.0,1311,55,
Jev,door-open-v3-0,door-open-v3,0,57,512.482,200,jev-1.13.0,1937,144,
Jev,door-open-v3-0,door-open-v3,0,58,714.931,200,jev-1.13.0,1312,55,
Jev,door-open-v3-0,door-open-v3,0,59,419.138,200,jev-1.13.0,1939,144,
Jev,door-open-v3-0,door-open-v3,0,60,489.034,200,jev-1.13.0,1327,55,
Jev,door-open-v3-0,door-open-v3,0,61,453.741,200,jev-1.13.0,1937,144,
Jev,door-open-v3-0,door-open-v3,0,62,466.667,200,jev-1.13.0,1307,55,
Jev,door-open-v3-0,door-open-v3,0,63,452.995,200,jev-1.13.0,1917,144,
Jev,door-open-v3-1,door-open-v3,1,0,1368.551,200,jev-1.13.0,1033,56,
Jev,door-open-v3-1,door-open-v3,1,1,374.261,200,jev-1.13.0,1636,144,
Jev,door-open-v3-1,door-open-v3,1,2,496.412,200,jev-1.13.0,1085,56,
Jev,door-open-v3-1,door-open-v3,1,3,408.915,200,jev-1.13.0,1687,144,
Jev,door-open-v3-1,door-open-v3,1,4,411.961,200,jev-1.13.0,1141,56,
Jev,door-open-v3-1,door-open-v3,1,5,500.904,200,jev-1.13.0,1730,144,
Jev,door-open-v3-1,door-open-v3,1,6,459.452,200,jev-1.13.0,1180,56,
Jev,door-open-v3-1,door-open-v3,1,7,522.169,200,jev-1.13.0,1783,144,
Jev,door-open-v3-1,door-open-v3,1,8,432.835,200,jev-1.13.0,1235,56,
Jev,door-open-v3-1,door-open-v3,1,9,573.602,200,jev-1.13.0,1837,144,
Jev,door-open-v3-1,door-open-v3,1,10,491.82,200,jev-1.13.0,1235,56,
Jev,door-open-v3-1,door-open-v3,1,11,453.222,200,jev-1.13.0,1839,144,
Jev,door-open-v3-1,door-open-v3,1,12,383.599,200,jev-1.13.0,1235,56,
Jev,door-open-v3-1,door-open-v3,1,13,437.13,200,jev-1.13.0,1839,144,
Jev,door-open-v3-1,door-open-v3,1,14,725.273,200,jev-1.13.0,1251,56,
Jev,door-open-v3-1,door-open-v3,1,15,583.553,200,jev-1.13.0,1855,144,
Jev,door-open-v3-1,door-open-v3,1,16,481.41,200,jev-1.13.0,1252,56,
Jev,door-open-v3-1,door-open-v3,1,17,506.711,200,jev-1.13.0,1855,144,
Jev,door-open-v3-1,door-open-v3,1,18,538.779,200,jev-1.13.0,1253,56,
Jev,door-open-v3-1,door-open-v3,1,19,515.683,200,jev-1.13.0,1856,144,
Jev,door-open-v3-1,door-open-v3,1,20,576.527,200,jev-1.13.0,1235,56,
Jev,door-open-v3-1,door-open-v3,1,21,591.908,200,jev-1.13.0,1823,144,
Jev,door-open-v3-1,door-open-v3,1,22,374.396,200,jev-1.13.0,1220,56,
Jev,door-open-v3-1,door-open-v3,1,23,376.266,200,jev-1.13.0,1839,144,
Jev,door-open-v3-1,door-open-v3,1,24,445.841,200,jev-1.13.0,1217,56,
Jev,door-open-v3-1,door-open-v3,1,25,1145.538,200,jev-1.13.0,1819,144,
Jev,door-open-v3-1,door-open-v3,1,26,441.572,200,jev-1.13.0,1214,56,
Jev,door-open-v3-1,door-open-v3,1,27,509.926,200,jev-1.13.0,1815,144,
Jev,door-open-v3-1,door-open-v3,1,28,625.123,200,jev-1.13.0,1233,56,
Jev,door-open-v3-1,door-open-v3,1,29,479.638,200,jev-1.13.0,1838,144,
Jev,door-open-v3-1,door-open-v3,1,30,487.171,200,jev-1.13.0,1246,56,
Jev,door-open-v3-1,door-open-v3,1,31,489.86,200,jev-1.13.0,1846,144,
Jev,door-open-v3-1,door-open-v3,1,32,482.477,200,jev-1.13.0,1254,55,
Jev,door-open-v3-1,door-open-v3,1,33,427.155,200,jev-1.13.0,1860,144,
Jev,door-open-v3-1,door-open-v3,1,34,380.901,200,jev-1.13.0,1267,55,
Jev,door-open-v3-1,door-open-v3,1,35,480.106,200,jev-1.13.0,1889,144,
Jev,door-open-v3-1,door-open-v3,1,36,488.368,200,jev-1.13.0,1282,55,
Jev,door-open-v3-1,door-open-v3,1,37,414.436,200,jev-1.13.0,1904,144,
Jev,door-open-v3-1,door-open-v3,1,38,386.493,200,jev-1.13.0,1298,56,
Jev,door-open-v3-1,door-open-v3,1,39,823.553,200,jev-1.13.0,1896,144,
Jev,door-open-v3-1,door-open-v3,1,40,517.95,200,jev-1.13.0,1278,56,
Jev,door-open-v3-1,door-open-v3,1,41,456.913,200,jev-1.13.0,1889,144,
Jev,door-open-v3-1,door-open-v3,1,42,514.786,200,jev-1.13.0,1280,56,
Jev,door-open-v3-1,door-open-v3,1,43,467.303,200,jev-1.13.0,1891,144,
Jev,door-open-v3-1,door-open-v3,1,44,456.952,200,jev-1.13.0,1265,56,
Jev,door-open-v3-1,door-open-v3,1,45,430.799,200,jev-1.13.0,1877,144,
Jev,door-open-v3-1,door-open-v3,1,46,426.911,200,jev-1.13.0,1249,56,
Jev,door-open-v3-1,door-open-v3,1,47,521.627,200,jev-1.13.0,1862,144,
Jev,door-open-v3-1,door-open-v3,1,48,599.439,200,jev-1.13.0,1266,56,
Jev,door-open-v3-1,door-open-v3,1,49,438.304,200,jev-1.13.0,1879,144,
Jev,door-open-v3-1,door-open-v3,1,50,477.107,200,jev-1.13.0,1262,56,
Jev,door-open-v3-1,door-open-v3,1,51,688.656,200,jev-1.13.0,1873,144,
Jev,door-open-v3-1,door-open-v3,1,52,473.956,200,jev-1.13.0,1264,56,
Jev,door-open-v3-1,door-open-v3,1,53,483.407,200,jev-1.13.0,1870,144,
Jev,door-open-v3-1,door-open-v3,1,54,446.664,200,jev-1.13.0,1265,56,
Jev,door-open-v3-1,door-open-v3,1,55,478.201,200,jev-1.13.0,1858,144,
Jev,door-open-v3-1,door-open-v3,1,56,419.22,200,jev-1.13.0,1251,56,
Jev,door-open-v3-1,door-open-v3,1,57,573.76,200,jev-1.13.0,1859,144,
Jev,door-open-v3-1,door-open-v3,1,58,410.233,200,jev-1.13.0,1254,56,
Jev,door-open-v3-1,door-open-v3,1,59,511.087,200,jev-1.13.0,1865,144,
Jev,door-open-v3-1,door-open-v3,1,60,367.949,200,jev-1.13.0,1257,56,
Jev,door-open-v3-1,door-open-v3,1,61,467.529,200,jev-1.13.0,1883,144,
Jev,door-open-v3-1,door-open-v3,1,62,546.74,200,jev-1.13.0,1273,56,
Jev,door-open-v3-1,door-open-v3,1,63,474.56,200,jev-1.13.0,1897,144,
Jev,door-open-v3-1,door-open-v3,1,64,514.117,200,jev-1.13.0,1307,56,
Jev,door-open-v3-1,door-open-v3,1,65,535.119,200,jev-1.13.0,1932,144,
Jev,door-open-v3-1,door-open-v3,1,66,551.132,200,jev-1.13.0,1320,56,
Jev,door-open-v3-1,door-open-v3,1,67,442.928,200,jev-1.13.0,1943,144,
Chat,drawer-open-v3-0,drawer-open-v3,0,0,8561.257,200,gpt-6-astra,837,142,
Chat,drawer-open-v3-0,drawer-open-v3,0,1,4272.965,200,gpt-6-astra,1203,53,
Chat,drawer-open-v3-0,drawer-open-v3,0,2,3515.845,200,gpt-6-astra,869,84,
Chat,drawer-open-v3-0,drawer-open-v3,0,3,4627.794,200,gpt-6-astra,1235,51,
Chat,drawer-open-v3-0,drawer-open-v3,0,4,10236.806,200,gpt-6-astra,901,85,
Chat,drawer-open-v3-0,drawer-open-v3,0,5,5136.725,200,gpt-6-astra,1267,51,
Chat,drawer-open-v3-0,drawer-open-v3,0,6,5369.372,200,gpt-6-astra,933,56,
Chat,drawer-open-v3-0,drawer-open-v3,0,7,5367.306,200,gpt-6-astra,1304,59,
Chat,drawer-open-v3-0,drawer-open-v3,0,8,6502.414,200,gpt-6-astra,970,108,
Chat,drawer-open-v3-0,drawer-open-v3,0,9,3603.487,200,gpt-6-astra,1295,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,10,104390.673,200,gpt-6-astra,5045,500,
Chat,drawer-open-v3-0,drawer-open-v3,0,11,62528.815,200,gpt-6-astra,5043,86,
Chat,drawer-open-v3-0,drawer-open-v3,0,12,3136.364,200,gpt-6-astra,5421,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,13,3264.178,200,gpt-6-astra,5055,33,
Chat,drawer-open-v3-0,drawer-open-v3,0,14,1971.259,200,gpt-6-astra,1319,24,
Chat,drawer-open-v3-0,drawer-open-v3,0,15,2549.233,200,gpt-6-astra,944,36,
Chat,drawer-open-v3-0,drawer-open-v3,0,16,3265.17,200,gpt-6-astra,5440,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,17,3870.845,200,gpt-6-astra,5060,28,
Chat,drawer-open-v3-0,drawer-open-v3,0,18,1942.338,200,gpt-6-astra,1329,24,
Chat,drawer-open-v3-0,drawer-open-v3,0,19,3270.305,200,gpt-6-astra,5065,31,
Chat,drawer-open-v3-0,drawer-open-v3,0,20,3282.58,200,gpt-6-astra,5445,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,21,3476.29,200,gpt-6-astra,5060,33,
Chat,drawer-open-v3-0,drawer-open-v3,0,22,3965.383,200,gpt-6-astra,5435,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,23,3517.041,200,gpt-6-astra,5055,29,
Chat,drawer-open-v3-0,drawer-open-v3,0,24,2928.177,200,gpt-6-astra,5435,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,25,3684.801,200,gpt-6-astra,5055,33,
Chat,drawer-open-v3-0,drawer-open-v3,0,26,2940.049,200,gpt-6-astra,5440,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,27,4569.409,200,gpt-6-astra,5050,33,
Chat,drawer-open-v3-0,drawer-open-v3,0,28,3077.453,200,gpt-6-astra,5425,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,29,9408.685,200,gpt-6-astra,5045,206,
Chat,drawer-open-v3-0,drawer-open-v3,0,30,3040.58,200,gpt-6-astra,5420,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,31,3880.602,200,gpt-6-astra,5045,32,
Chat,drawer-open-v3-0,drawer-open-v3,0,32,2598.116,200,gpt-6-astra,5415,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,33,4505.019,200,gpt-6-astra,5045,36,
Chat,drawer-open-v3-0,drawer-open-v3,0,34,3338.872,200,gpt-6-astra,5410,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,35,3749.211,200,gpt-6-astra,5040,43,
Chat,drawer-open-v3-0,drawer-open-v3,0,36,3544.07,200,gpt-6-astra,5410,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,37,31817.854,200,gpt-6-astra,5043,109,
Chat,drawer-open-v3-0,drawer-open-v3,0,38,3362.44,200,gpt-6-astra,5415,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,39,3432.124,200,gpt-6-astra,5050,44,
Chat,drawer-open-v3-0,drawer-open-v3,0,40,2906.891,200,gpt-6-astra,5415,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,41,3788.944,200,gpt-6-astra,5045,43,
Chat,drawer-open-v3-0,drawer-open-v3,0,42,3216.575,200,gpt-6-astra,5420,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,43,3342.077,200,gpt-6-astra,5050,35,
Chat,drawer-open-v3-0,drawer-open-v3,0,44,3160.079,200,gpt-6-astra,5425,25,
Chat,drawer-open-v3-0,drawer-open-v3,0,45,4424.95,200,gpt-6-astra,5050,57,
Chat,drawer-open-v3-0,drawer-open-v3,0,46,2472.188,200,gpt-6-astra,1304,24,
Chat,drawer-open-v3-1,drawer-open-v3,1,0,4327.82,200,gpt-6-astra,4907,30,
Chat,drawer-open-v3-1,drawer-open-v3,1,1,120002.673,,,,,ReadTimeout
Chat,drawer-open-v3-1,drawer-open-v3,1,2,4505.805,200,gpt-6-astra,5272,25,
Chat,drawer-open-v3-1,drawer-open-v3,1,3,4919.011,200,gpt-6-astra,4939,31,
Chat,drawer-open-v3-1,drawer-open-v3,1,4,1846.214,200,gpt-6-astra,1188,24,
Chat,drawer-open-v3-1,drawer-open-v3,1,5,3573.409,200,gpt-6-astra,4971,32,
Chat,drawer-open-v3-1,drawer-open-v3,1,6,3164.176,200,gpt-6-astra,5336,25,
Chat,drawer-open-v3-1,drawer-open-v3,1,7,3288.089,200,gpt-6-astra,5003,30,
Chat,drawer-open-v3-1,drawer-open-v3,1,8,4256.451,200,gpt-6-astra,5373,25,
Chat,drawer-open-v3-1,drawer-open-v3,1,9,61815.434,200,gpt-6-astra,5038,178,
Chat,drawer-open-v3-1,drawer-open-v3,1,10,3134.829,200,gpt-6-astra,5415,25,
Chat,drawer-open-v3-1,drawer-open-v3,1,11,3409.54,200,gpt-6-astra,5050,34,
Chat,drawer-open-v3-1,drawer-open-v3,1,12,6905.436,200,gpt-6-astra,5425,25,
Chat,drawer-open-v3-1,drawer-open-v3,1,13,3727.756,200,gpt-6-astra,5060,39,
Chat,drawer-open-v3-1,drawer-open-v3,1,14,3076.084,200,gpt-6-astra,5439,25,
Chat,drawer-open-v3-1,drawer-open-v3,1,15,4119.732,200,gpt-6-astra,5060,36,
Chat,drawer-open-v3-1,drawer-open-v3,1,16,4380.331,200,gpt-6-astra,5444,25,
Chat,drawer-open-v3-1,drawer-open-v3,1,17,3720.274,200,gpt-6-astra,5060,30,
Chat,drawer-open-v3-1,drawer-open-v3,1,18,4844.195,200,gpt-6-astra,5444,25,
Chat,drawer-open-v3-1,drawer-open-v3,1,19,4545.469,200,gpt-6-astra,5060,29,
Chat,drawer-open-v3-1,drawer-open-v3,1,20,2924.03,200,gpt-6-astra,5439,25,
